2023-01-16 16:13:53 INFO  [http-nio-8080-exec-1]: User with id '2' blocked.
2023-01-16 16:13:53 INFO  [http-nio-8080-exec-1]: Admin user accessed console.
2023-01-16 16:14:00 INFO  [http-nio-8080-exec-2]: New 'POST' request.
2023-01-16 16:14:00 INFO  [http-nio-8080-exec-2]: Command 'unblock_user' is started.
2023-01-16 16:14:00 INFO  [http-nio-8080-exec-2]: Admin unblocked user with ID: 2
2023-01-16 16:14:00 INFO  [http-nio-8080-exec-2]: Admin user accessed console.
2023-01-16 16:14:13 INFO  [http-nio-8080-exec-3]: New 'POST' request.
2023-01-16 16:14:13 INFO  [http-nio-8080-exec-3]: Command 'create_exam' is started.
2023-01-16 16:14:13 INFO  [http-nio-8080-exec-3]: Added new exam in database.
2023-01-16 16:14:13 INFO  [http-nio-8080-exec-3]: Exam created with name: Українська мова і література
2023-01-16 16:14:13 INFO  [http-nio-8080-exec-3]: Admin user accessed console.
2023-01-16 16:14:17 INFO  [http-nio-8080-exec-5]: New 'GET' request.
2023-01-16 16:14:17 INFO  [http-nio-8080-exec-5]: Command 'profile' is started.
2023-01-16 16:14:17 INFO  [http-nio-8080-exec-5]: User 'kefady' opened profile.
2023-01-16 16:14:18 INFO  [http-nio-8080-exec-4]: New 'POST' request.
2023-01-16 16:14:18 INFO  [http-nio-8080-exec-4]: Command 'logout' is started.
2023-01-16 16:14:18 INFO  [http-nio-8080-exec-4]: User 'kefady' has been logout.
